x,y,z
6.863130,-0.020071,-4.456367
6.807119,-0.016182,-4.543011
6.758063,-0.015466,-4.465577
6.757604,-0.015626,-4.509820
6.745608,-0.016126,-4.494960
6.790642,-0.018749,-4.460084
6.784947,-0.016940,-4.501153
6.756551,-0.015772,-4.510238
6.746487,-0.015537,-4.494645
6.737998,-0.015044,-4.511497
6.755793,-0.015884,-4.465913
6.737412,-0.015362,-4.511340
6.705876,-0.014585,-4.518056
6.706161,-0.014578,-4.511175
6.704554,-0.014429,-4.518268
6.704619,-0.014593,-4.518480
6.695100,-0.013158,-4.536209
6.691225,-0.013566,-4.527126
6.828903,-0.018821,-4.476318
6.785027,-0.019133,-4.450706
6.776839,-0.015520,-4.520198
6.738407,-0.015548,-4.510717
6.712718,-0.014535,-4.485662
6.679479,-0.014650,-4.490891
0.278610,-0.189332,3.647215
0.037216,-0.019267,1.897218
-0.141255,0.008154,1.304670
6.527775,-0.007350,-4.491659
-1.523083,-0.696623,3.265224
6.738227,-0.015034,-4.510314
6.601830,-0.009267,-4.544269
1.283242,-0.213570,5.730472
-0.573521,-0.014439,2.225738
0.315341,-0.118939,3.704979
-1.276235,-0.051246,2.923410
-0.585630,-0.006299,2.082632
-0.301269,0.011224,1.387695
-0.299311,0.010583,1.384242
-0.179882,0.008146,1.385146
-0.176987,0.008590,1.383542
-0.134597,0.009134,1.302321
-0.088283,0.005612,1.369773
0.598142,-0.287661,1.493878
-0.025133,0.043496,0.403441
-1.574222,-1.046199,3.332148
6.457592,-0.004635,-4.604624
6.452551,-0.005108,-4.494624
6.465424,-0.003288,-4.604789
-0.128496,0.006473,1.383896
6.508469,-0.007201,-4.515643
6.497128,-0.006543,-4.568770
6.427285,-0.004039,-4.530498
6.379307,0.000215,-4.567476
6.347004,0.001104,-4.547484
6.416439,-0.004041,-4.510199
6.223829,0.004491,-4.554098
6.290919,0.002411,-4.539855
6.083088,0.009898,-4.579680
5.758333,-0.086846,-4.986437
5.760875,-0.093625,-4.991548
5.765646,-0.152955,-4.998672
5.763953,-0.151834,-4.999339
5.761530,-0.176056,-4.997336
5.762563,-0.176041,-4.998079
5.754290,-0.225458,-5.001365
5.753871,-0.224762,-5.001447
5.764732,-0.270652,-4.877088
5.768167,0.014258,-4.978718
5.758250,-0.086985,-4.987018
5.289353,0.029193,-5.013850
4.873999,-0.171961,-5.211010
4.253001,-0.214507,-5.206640
4.177803,-0.147709,-5.206410
3.878064,-0.140590,-5.212456
5.235368,-0.198973,-4.934397
5.185527,-0.478047,-4.935229
4.257566,-0.150839,-5.207246
5.124202,-0.493423,-4.929965
0.262656,0.075780,-0.473518
4.230261,-0.149184,-5.205919
5.253370,-0.269078,-4.937064
3.913357,0.074031,-5.207407
4.214629,-0.150068,-5.212772
4.405352,-0.156201,-5.207617
4.263180,0.062070,-5.192063
3.941374,0.071265,-5.207156
3.939402,-0.145540,-5.215521
4.478962,0.055986,-5.201908
3.884451,0.074067,-5.202720
5.199318,0.130221,-4.922632
5.187705,-0.511878,-4.935047
5.237603,-0.491473,-4.939915
4.433702,-0.166027,-5.240599
3.685889,-0.110520,-5.217287
3.626645,-0.079492,-5.216332
5.204220,-0.555165,-4.936861
9.704226,-2.224994,-5.224841
3.748428,-0.142570,-5.219581
5.111018,0.166859,-5.073288
3.828662,0.076152,-5.202029
3.742031,-0.140994,-5.218545
3.630711,0.080459,-5.203267
5.346194,-0.205160,-4.910170
3.650406,-0.135878,-5.214831
3.164296,0.081914,-4.669372
3.686805,0.080454,-5.213705
3.667524,-0.222967,-5.226193
3.779266,-0.138619,-5.208328
5.363632,-0.277420,-4.912500
2.939758,0.088396,-4.777087
2.058526,-0.100516,-4.624661
1.886540,0.117540,-4.624719
1.725771,0.112472,-4.234328
2.134593,-0.164053,-4.627221
1.892668,-0.127911,-4.639601
1.916142,0.104314,-4.627823
1.734615,0.110066,-4.140123
1.896917,0.115420,-4.630157
2.173393,-0.226309,-4.633655
2.044498,0.109292,-4.623177
1.923800,-0.096295,-4.625260
1.757313,0.111258,-4.164992
1.756534,0.111443,-4.164845
1.721101,0.110738,-4.155243
1.721143,0.111196,-4.156140
1.905277,-0.098755,-4.632470
1.868636,0.112168,-4.631551
1.724822,0.112062,-4.137665
1.869233,0.111291,-4.631890
1.888515,-0.125551,-4.632153
1.890173,-0.125815,-4.635027
2.740854,-0.518352,-5.091354
1.983901,0.113767,-4.633451
1.840910,0.111290,-4.633089
1.814512,-0.097941,-4.635774
2.193117,-0.231185,-4.651403
1.846820,0.116850,-4.626821
1.899396,0.115387,-4.617570
1.599440,0.114110,-4.054932
1.871667,-0.144141,-4.653427
1.758116,-0.016533,-4.643196
1.776919,0.088382,-4.642154
1.698649,-0.157658,-4.644459
1.547562,0.115738,-4.104712
1.550637,0.116693,-4.106649
1.508014,0.114984,-4.058836
1.483450,0.115013,-3.980903
1.865422,-0.141953,-4.646470
1.737440,-0.213548,-4.639450
1.572595,0.116195,-4.183159
1.520412,0.115295,-3.981080
1.516610,0.114816,-3.979771
1.558167,0.111741,-3.948805
6.224990,-0.667280,-5.028859
1.864162,0.111361,-4.623692
2.990069,-0.193302,-5.211992
1.711168,0.122073,-4.635786
1.423587,0.120733,-4.070230
1.464111,0.115179,-3.921053
1.463271,0.114954,-3.920685
1.451807,0.118619,-4.067244
1.484621,0.115299,-3.981275
1.486991,0.115590,-3.981682
1.446680,0.116651,-4.013085
1.482572,0.115132,-3.981711
2.636990,-0.491589,-4.934969
1.728151,-0.093825,-4.635945
1.535144,0.121381,-4.134626
1.459133,0.119609,-4.076306
1.426103,0.118891,-4.077078
1.493174,0.117011,-3.958300
1.488356,0.116050,-3.956071
1.397034,0.119543,-4.012974
1.520305,0.114115,-3.977816
1.455934,0.118642,-4.099892
1.454889,0.118516,-4.097954
1.495829,0.118074,-4.101117
1.459596,0.119851,-4.104092
1.483480,0.115023,-3.981307
1.833959,0.110294,-4.622832
1.521505,0.114301,-3.978465
1.519305,0.114044,-3.977299
1.408477,0.119710,-4.092273
1.408331,0.119489,-4.089673
1.446242,0.117160,-4.014610
2.086955,-0.298200,-4.633423
1.898760,0.112151,-4.626683
1.861211,-0.139888,-4.640179
1.816143,-0.093622,-4.619325
1.775212,0.084465,-4.634293
1.911526,0.106109,-4.623121
1.738256,0.116971,-4.619558
1.506398,0.119076,-4.110999
1.641823,0.123859,-4.638804
1.904105,0.113046,-4.640932
5.459922,-1.346094,-4.989675
1.548520,0.116747,-4.105776
2.836528,-0.425367,-5.215008
1.771184,0.119152,-4.635243
1.697108,-0.092528,-4.637003
1.937303,-0.301391,-4.646971
1.655320,0.124109,-4.648114
1.450757,0.117784,-4.017771
1.358175,0.120540,-4.037920
1.713774,-0.088925,-4.607619
2.086725,-0.293915,-4.632215
1.575004,0.123336,-4.627461
0.531880,-0.349759,-4.818696
-0.235036,0.250378,-5.261936
0.541170,0.123098,-3.227200
0.524900,0.125809,-3.205013
0.323435,0.118496,-2.868729
0.126873,0.125012,-2.900112
0.118662,0.124467,-2.884027
0.255860,0.119101,-2.845488
1.863028,-0.098499,-4.641804
1.459934,0.118276,-4.025815
2.923525,-0.581863,-5.120311
1.385072,0.117389,-3.961861
1.748396,-0.015194,-4.625824
1.774069,-0.264044,-4.646258
1.726292,-0.094647,-4.630482
1.893971,0.117808,-4.635869
1.563655,0.140882,-4.620026
1.577131,0.122031,-4.646935
1.800629,-0.315929,-4.679485
5.637215,0.652431,-4.903005
1.763563,-0.259708,-4.631206
1.960892,-0.294707,-4.638523
5.655343,-0.296041,-4.938949
5.068947,-1.292672,-4.859306
1.467337,0.123229,-4.600463
1.971382,-0.307929,-4.647201
1.744913,-0.301785,-4.637096
1.447105,0.220958,-4.767972
1.728594,-0.476286,-4.608556
