frame_id,x,y,z,yaw
12,-0.00048565,-0.00416167,0.0869378,-0.00313832
26,0.00154785,-0.0103642,0.234811,-0.00113859
4,-5.30887e-05,-0.000705192,0.00336269,-0.000397004
5,-0.00044309,-0.00146118,0.0143828,0.0018851
0,7.17526e-05,2.86278e-06,-1.04488e-05,3.35056e-06
19,0.000595761,-0.0069783,0.163021,-0.00270043
140,-0.043916,-0.0644973,1.69019,-0.00668326
150,-0.0516292,-0.0681288,1.82696,-0.0138202
161,-0.0616597,-0.0736547,1.97843,-0.0133352
130,-0.0351954,-0.0601028,1.55957,-0.0046043
65,-0.00675522,-0.0281964,0.69089,-0.014549
56,-0.0036399,-0.0230416,0.555955,-0.0154918
58,-0.00362462,-0.0245036,0.578231,-0.0151071
52,-0.00326107,-0.0208836,0.509326,-0.00783529
23,-0.000223327,-0.00884891,0.203484,0.000755367
37,0.000299195,-0.0153953,0.352171,-0.00438813
31,-2.25746e-05,-0.0128674,0.28705,-0.000932138
48,-0.00086476,-0.0189682,0.468029,-0.00773622
41,-0.000327243,-0.0165521,0.395686,-0.00630675
33,0.000202273,-0.0133517,0.309152,-0.00335641
859,1.94527,0.0468062,-4.26382,3.01737
63,-0.00555888,-0.0267663,0.659427,-0.0166757
67,-0.00700062,-0.0294598,0.724386,-0.0136909
60,-0.00312304,-0.0257034,0.607682,-0.0184571
70,-0.00645401,-0.0308025,0.775473,-0.0173513
69,-0.00734616,-0.0304842,0.756367,-0.0147281
74,-0.00917098,-0.0328284,0.838496,-0.015781
75,-0.00841454,-0.0337237,0.856298,-0.011631
71,-0.00784555,-0.0311722,0.794289,-0.0148351
77,-0.0100991,-0.0353871,0.882967,-0.0127797
72,-0.00728338,-0.0315216,0.808342,-0.015647
73,-0.00893657,-0.0323165,0.825257,-0.0132209
79,-0.00975145,-0.0357648,0.895301,-0.00973954
76,-0.0104788,-0.0345687,0.86886,-0.0119232
82,-0.0115552,-0.0371579,0.910815,-0.0113488
85,-0.0120526,-0.0389164,0.951803,-0.0116924
89,-0.0134767,-0.040821,1.00212,-0.0112704
84,-0.0129303,-0.0378628,0.939148,-0.0103364
87,-0.0136569,-0.0397129,0.978622,-0.0136671
93,-0.0151541,-0.0423552,1.05609,-0.00736706
91,-0.0147729,-0.0421993,1.02878,-0.00850823
95,-0.0166916,-0.0434067,1.08161,-0.00682956
101,-0.0189818,-0.0470362,1.16077,-0.00955835
97,-0.0188355,-0.0451476,1.10755,-0.00635659
105,-0.0222013,-0.0482028,1.21585,-0.011973
106,-0.0224452,-0.0487146,1.23096,-0.0117161
184,-0.0786649,-0.0851802,2.28754,-0.0100059
172,-0.068999,-0.0778969,2.12622,-0.00971266
207,-0.0992236,-0.0960359,2.5831,-0.0126356
195,-0.0900716,-0.0910978,2.42687,-0.0106464
236,-0.286926,-0.107725,2.8726,-0.0262667
216,-0.129017,-0.101396,2.68717,-0.0112598
227,-0.20905,-0.105876,2.79775,-0.0173753
231,-0.241705,-0.106817,2.83449,-0.0235775
221,-0.161758,-0.103786,2.74013,-0.0159236
240,-0.329558,-0.108526,2.90384,-0.0338778
249,-0.427717,-0.110751,2.95418,-0.040184
245,-0.382349,-0.110037,2.93355,-0.0354892
242,-0.350744,-0.109171,2.91578,-0.0336908
255,-0.501756,-0.109426,2.97794,-0.053406
267,-0.640739,-0.106167,2.99948,-0.0639788
261,-0.569526,-0.109078,2.99295,-0.0564358
307,-0.539707,-0.107833,2.94381,-0.125864
401,-0.282157,-0.101834,2.6669,3.13475
321,-0.41454,-0.109453,2.89985,-0.238303
336,-0.230228,-0.112871,2.85812,-2.83123
394,-0.259957,-0.104775,2.71625,3.137
376,-0.177521,-0.11241,2.82772,-3.12515
405,-0.292153,-0.0996509,2.63955,3.13567
412,-0.305644,-0.0978215,2.58174,3.12459
409,-0.29929,-0.0989886,2.6071,3.12572
414,-0.307758,-0.0930397,2.42953,3.10127
415,-0.304167,-0.0928822,2.41598,3.10182
418,-0.297222,-0.0917016,2.38125,3.09695
419,-0.292556,-0.09198,2.36664,3.09883
417,-0.300296,-0.0922541,2.39214,3.09897
421,-0.285134,-0.0904222,2.34334,3.09593
416,-0.302597,-0.0921895,2.40506,3.10212
422,-0.280661,-0.090149,2.33219,3.09313
423,-0.277716,-0.0908531,2.32213,3.09298
420,-0.289584,-0.0912328,2.35681,3.09324
427,-0.257187,-0.0892786,2.27604,3.0876
425,-0.267014,-0.0901035,2.29969,3.0901
426,-0.262213,-0.0899443,2.28998,3.08677
424,-0.271124,-0.0901747,2.30976,3.09049
429,-0.254663,-0.0881976,2.25082,3.09183
431,-0.252166,-0.0877067,2.22635,3.08773
430,-0.25426,-0.0880078,2.23927,3.08926
433,-0.252386,-0.0867644,2.20141,3.08929
437,-0.248996,-0.0852513,2.15311,3.0876
438,-0.248048,-0.0847091,2.13838,3.08934
436,-0.25007,-0.0855864,2.16324,3.08826
443,-0.244932,-0.082169,2.07924,3.09005
442,-0.245543,-0.0827744,2.0923,3.08826
439,-0.248164,-0.0841824,2.12671,3.08725
445,-0.243079,-0.0812278,2.05611,3.08692
440,-0.245434,-0.0830575,2.1128,3.08751
444,-0.243623,-0.0815832,2.06773,3.08893
450,-0.227984,-0.0745697,1.87788,3.0902
462,-0.220324,-0.0703367,1.7146,3.08913
446,-0.231808,-0.0763436,1.93265,3.09307
447,-0.229771,-0.0761229,1.91763,3.08914
456,-0.224828,-0.0721062,1.7934,3.09079
458,-0.222726,-0.0711982,1.76854,3.08705
453,-0.226084,-0.0730075,1.83656,3.09067
477,-0.210595,-0.0636796,1.51146,3.08667
466,-0.217781,-0.0682506,1.66176,3.08857
470,-0.214113,-0.0671131,1.61083,3.08535
473,-0.212465,-0.0649559,1.56466,3.08752
481,-0.195047,-0.0536326,1.22492,3.09075
494,-0.184563,-0.0493863,1.03494,3.08633
482,-0.193806,-0.053654,1.21284,3.09233
485,-0.192174,-0.0521224,1.17306,3.09274
