kf_frame_id,top_bow_frame_ids,top_hqbow_frame_ids
48,"107","1094,1096,1098"
57,"","0"
73,"","0"
0,"66,87,57,91,80,94,97,107","57,66,73,1094,1096,1098,91,791"
66,"","0"
49,"112,115","1430,1435,1542,594"
80,"",""
91,"",""
85,"",""
94,"",""
87,"",""
109,"",""
107,"",""
100,"",""
97,"",""
98,"",""
102,"",""
112,"",""
114,"",""
296,"",""
115,"",""
122,"",""
121,"",""
119,"","1543"
124,"","1543"
129,"",""
126,"",""
130,"",""
143,"",""
142,"",""
144,"",""
146,"",""
151,"",""
147,"",""
154,"",""
156,"",""
160,"",""
157,"",""
166,"",""
162,"",""
159,"",""
165,"",""
163,"",""
164,"",""
168,"",""
167,"",""
169,"",""
170,"",""
176,"",""
173,"",""
175,"",""
177,"",""
174,"",""
178,"",""
179,"",""
184,"",""
191,"",""
196,"",""
210,"",""
231,"179,169",""
226,"176",""
223,"","173"
221,"",""
254,"1565",""
224,"",""
240,"178,177",""
236,"1467,173",""
270,"1584",""
250,"1571,1558,1562",""
258,"1565,1567",""
244,"1558",""
263,"",""
268,"1591",""
274,"",""
273,"",""
271,"",""
272,"",""
277,"",""
276,"",""
281,"",""
275,"",""
280,"",""
278,"",""
285,"",""
286,"",""
283,"",""
282,"",""
287,"",""
284,"",""
288,"",""
290,"",""
289,"",""
293,"",""
292,"",""
294,"",""
295,"",""
300,"",""
298,"",""
297,"",""
303,"",""
299,"",""
301,"",""
306,"",""
314,"",""
309,"",""
307,"",""
305,"",""
308,"",""
325,"1711",""
311,"",""
351,"439,468","431"
332,"1442,485,506",""
340,"477,436,439",""
346,"429,494",""
354,"455,431,429,486","436,431"
360,"436,431,429","429,431,436"
372,"429,431,440,436,439","429,431,436,439"
429,"372,369,364,360,346,481","372,369,364,360"
364,"429,431,436","429,431,436"
369,"429,439,436,440,431","429,431,436,439"
436,"369,360","372,369"
431,"372,360,354,369","372,369,364"
447,"",""
443,"",""
440,"","372,369"
439,"369","372,369"
465,"",""
451,"",""
459,"",""
472,"",""
455,"",""
470,"",""
468,"",""
462,"",""
474,"",""
477,"",""
480,"",""
478,"",""
476,"",""
482,"",""
481,"",""
486,"",""
485,"",""
483,"",""
484,"",""
493,"",""
489,"",""
487,"",""
490,"",""
488,"",""
494,"",""
496,"",""
492,"",""
491,"",""
497,"",""
499,"",""
498,"",""
502,"",""
501,"",""
506,"",""
500,"",""
503,"",""
505,"",""
507,"",""
509,"",""
511,"",""
512,"",""
510,"",""
513,"",""
515,"",""
514,"",""
520,"",""
519,"",""
