kf_frame_id,top_bow_frame_ids,top_hqbow_frame_ids
166,"588,596","588,592,0,594"
144,"0,596,588,592,607,599,594","0,588,592,594,596,599"
596,"144","182,177"
0,"607,144,594,604,596,611,601,619,151,599","144,151,166,170,611,604,599,607,596,601"
177,"","592,594,588,596"
151,"588,592,0,596","0,592,594,588"
191,"526,547","244,531"
175,"588","588,592,594,596"
182,"","588,592,594"
170,"588,596","592,588,0,594"
198,"531,435","531,433,437"
217,"526,547,531","437,435,433"
202,"547,526,531,519","437,433"
193,"531,547","244,433"
244,"531,526,519,547,433,193","193,191,437,316,531"
205,"547,526,531,519","437,435,433"
403,"519,526,531,217,205","263,316,519,244"
263,"435,437,441,433,526,403,316,202,182,445","316,371,403,205,531,435,441,437"
316,"371,403,244,592,526,202,217,263,433,588","263,244,371,403,217,435,441,433,437,601"
437,"526,519,531,217,202","371,217,244,202,205,198"
433,"519,526,531,217,205","371,244,217,202,205,198"
371,"316,519,433,526,435,244,531,445,437","437,433,441,435,263,316,519,531,445"
435,"519,526,531,217,198","371,217,244,205,198,202"
441,"531,526,519,217,205","371,244,217,205,202"
519,"433,435,403,445,244,205,217,437","445,244,198,205,202,217,441,371"
526,"217,205,244,433,202,403,435","244,445,205,193,198,217,435"
531,"244,217,205,202,433,435,441","244,198,217,205,191,193,202"
445,"519,526,531,205,217","519,526,244,371,202"
547,"205,202,217,182,244,193,191","202,198,205,191,217,244,193,166"
592,"144","175,182"
588,"144,151","175,182"
601,"0","0"
599,"144","0,166"
594,"0","182,177"
604,"0","0"
607,"0","0"
611,"0","0"
619,"0","166,0,151"
