mp_id,mp_x,mp_y,mp_z,descriptor_hex,observations
1368,0.805060,0.986382,1.269500,"bbdd50dab5955e741508f5222ad2aee55eba96cafb9248fd22d880f33f8fd805","5;6;7;8"
1242,0.866759,0.982676,1.455611,"3b7f628a7793faf617c0dce729ccb7a47eeb97d5cfbb24ff3a5d8fa97f8f78dd","4;5;6;7;8"
1243,0.768175,1.019125,1.493600,"abb8fef56ebdbc5b7f7f763fbefcf628af3b770596fdabf1cedf7fe3d7ccdfdf","4;5;6;7;8;10"
1244,-0.666940,1.114155,1.590066,"22881e984cc198e20c125012149e2069c9113383500a02d50102da4d14083182","4;5;6;7;10;11;13;16;17;19;22;23;24;25;26;27;29;33"
1245,-0.654919,1.092128,1.559783,"00801aec060039421603480214b320407b1b23811098009151a59a0114482582","4;5;6;7;8;10;11;13;15;16;19;22;23;24;25;26;27;28;29;30;33"
1246,0.765098,1.018395,1.494321,"1ab0fefbaeabbcdf7f7bf737fefcde2aafdbff9192fd0bf1dedb7fc2cddca3d3","4;5;6;7;8;10"
1235,0.194609,1.038180,1.470373,"850c5e9196abecf6ffb61696dd2a330d23677a1ca4fd1dfe7e8e5744edd98108","4;5;13"
1234,0.191285,1.028126,1.428290,"e106cabccc20ec3f5282d8d7e1eaba5a5bce268dac4ecec31437fe889df0f888","4;5;6;7;10;11;13;15;16;17;19;30;33"
1168,0.778081,1.027112,1.772267,"1bb977fd2f9db8577f59fe27bf9d9620eebbff05c7f8f7d5c7f93a826f8ca3d9","3;4;5;7;8;10;11;13"
1474,0.756152,1.004321,1.267622,"1f3df7fbaebfb8d7ef597ed2bcbc942caf3b7f1d93b837f0defd3ec2e7cce1ff","6;7;8"
1475,0.190639,1.031167,1.312904,"5c5096e08d4e56d887bc8505dfd769cbd8d4ed7a4847da80dbd1473d2abb3052","6;8;10;11;13;16;17;19;33"
1307,-0.383081,1.084785,1.936876,"0174f5d92cbfe85bcffb9f56dfd8d06e6f847e1d8be57bd09edebfb09ec8d125","3;4;6;7;8;10;16;17;18;28;29;30;33"
1308,0.739968,1.029690,1.854811,"897e7ffb2c8d7930ad4af674bfdf9071e6b97f4fe3a563fbc6d922907e980139","4;5;7;8;13;15"
1309,0.547479,1.007979,1.822427,"09aacfb96ca9e953ae53f2d6bd8bd04b6b2f6e9c93fac7d1c4fbfac88cc861f8","4;5;6;7;8;10;11;13;15"
1371,0.749815,0.998947,1.305888,"6bb0fe516dbdf05bebfd752dbffcd63eaf3df71d867baad14f5975abc78c57d7","5;6;7;8"
1367,0.251561,1.032561,1.341504,"8a8f24beed908c6d9c0e5903ecea30c5cc23b303f40a4afd2473ce89166eb5c9","5;6;7;8;10;11;13;15;16;17;19;33"
1366,0.381496,1.023507,1.326642,"ab9be9d56250be701aea54e649aef7e67efdb7cec55eeeca3e49efa53fbc5dfd","5;6;7;10;11;13;15;19"
1363,0.381789,1.022957,1.324551,"eedb65cceb503fb809fc14e65826e7f74ed5b7eee142efc03e6befac3ffc04f5","5;6;10;11;13;19"
1032,0.575693,1.050405,2.385794,"7681468d4f0b6a680f20fb0aceca3852fac57fe35833c9dcb432cb75352b7802","1;3;4;5;7;8;11;13;15;17;41"
1035,0.380073,1.079967,2.439426,"9a2076e16f5bf84c2da4f683ee9e1580fe9ddf7104f521ce9fdb1ad3670c47cb","1;4;6;10;15;17;18;33;41;42"
1037,0.750116,1.051487,2.394005,"230545cd5e0bee780ce0dbc6d92b99407ecd7fefe9b14ddcf42aeb943dbb5190","1;3;4;5;6;7;8;10;11;13;15;16;17;40"
1038,0.522069,1.077581,2.445709,"43a0269a7d80b8c86f15d202ecca3c58fbdf6ed10e5fcbf19d309a4b140f218e","1;4;5;11;13;33;40;41;42"
1041,0.583262,1.058008,2.406173,"566842864d03eee83da4f30b4eca2d51facd6fe76ce789e8b5328f1f053b6506","1;3;4;5;7;8;16;40"
1043,0.827900,1.057855,2.403272,"306512af5d0be6ec3f22ea0a46f32950f8cc4ae268b349dfb586833f513a6282","1;3;4;5;7;8;10;13;15"
1290,0.614826,1.036476,1.862626,"0028c7f96ce9e952aeb3fac2fda3c04a6bae6e9803f8c7d1d4b6fb00e5c871a8","4;5;6;7;11;13;15;16"
1293,0.773789,1.035313,1.845096,"c9bcbdf0ecac7d97af5bb67c9f9fd03b85977f1c9b6df2e1dff976fccad0c33b","4;5;7;8;10"
1295,0.526168,1.047431,1.874030,"232a44b96cabe84a1f22d2d2ede894485baf7f8d39fa4ff79c1efbf0dd885180","4;5;6;7;8;11;16;17;18"
1296,0.575628,1.038148,1.866105,"21a1f8ef7c09f9dc5f71f40abff95e007bcb5f49a363cbd3561d27bc5ff85a8b","4;5;7;10;17"
1297,0.786883,1.044852,1.860047,"c8bab9f2adbd7993ff5bb67cbf9d503b8f93ff199b6df2e1cfd972facec8c77b","4;5;6;8;13"
1301,0.728088,1.027053,1.846692,"c92a1ffb2cac6912fd1ab7f0bf839079c7a37f8eab85e3f3c6fb7a9004c94129","4;5;10;11;13"
1302,0.700033,0.995686,1.788855,"c906bef8acbc7817ff1bb67c9ffbc07be7a77d1cbb4de3c0d2fb72da8ac08901","4;5;6;7;8"
1165,0.857063,0.297647,1.659658,"3c47522c13025668a1ace8294fd32990f8fdc5e24c93088ef3e5211b63372e03","1;3;4;5;6;7"
1104,0.839970,0.292827,1.626520,"3c415aac134f56682180e9095fdf2990bafdc5624c93180cf3e5211162332e42","1;3;4;5;6;7"
1105,0.878754,0.598510,1.639273,"e734bc93edfdb9cc9fffb53fecfe5f2bcfd3ff13b676fbf21f1a5fffdd5d87df","4;6;7"
1192,0.365676,1.060423,1.899948,"6222d4c96e2be9480f31f37a8c8b244a6a8d6f1010f543d09438db5495085181","3;4;5;6;7;8;10;15;16;17;18"
1193,-0.669743,1.123346,1.998494,"d2464edf2c236e4bbf06d392cfee3c48eb877f8228874bf6b4bfda911459b500","3;4;6;7;10;11;13;15;16;17;18;28;29;30"
1197,-0.092304,1.081259,1.939753,"7e275aed7e0bfe482da4ff8b4feb2d50fed5ffe308b3c9c8f6fd8bb525bb7f83","3;6;7;8;10;11;13;15;17;18;30;33"
1199,0.134219,1.095513,1.951468,"25a0fdd9ec5be8c85efaf062d9f8f4a97bd87e1981f76fd01e1bffb4dde859a1","3;5;7;18;29;30;33"
1200,-0.340444,1.077257,1.930929,"82237a99ee99fc47fd47f2b7adccfe086f8bef05f6bfa7d3361c36a96dccefdd","3;5;7;8;10;11;13;15;17;18;28;30;33"
1202,-0.156269,1.106913,1.980584,"275b63ef6c0beef45fa8f2eecb88b5647eed7febcdb36dfab6fcafb21ebf509d","3;4;5;6;8;10;11;13;15;16;17;18;28;29;30;33"
1207,0.356475,1.051233,1.881306,"022034a92c2bf8480f38f3338e883048eb957f0100b54bd09512bb9455085583","3;4;5;6;7;8;10;11;13;15;16;17;18;33"
1209,-0.012295,1.097461,1.969251,"ca9357d8ea987871bf58f7f6cdce84fd6795ff8cb35fabd59efb7bc82e84a175","3;4;7;8;11;16;17;18;28;29;30;33"
1213,-0.003720,1.081915,1.941048,"072063b96c89e858ff64f3c69dcad4c87ead7fdf8bf3efd094f9aba86d8963d0","3;4;5;6;7;8;10;11;15;16;17;18;29;30;33"
1215,-0.241833,1.099609,1.972552,"ae66fad3ee29eed87d33f5d219cbdd7a7fcd5faea2f7ede256f9a7ace5f363a1","3;4;5;7;10;11;13;15;16;17;18;28;29;30;33"
1216,-0.814562,1.125960,2.013847,"272873c5640bfa506d62f64adf1d9530fec55f6fa1b7e5ca16fa22904fab53e5","3;4;5;6;7;10;11;13;15;16;17;23;24;25;26;27;28;29;30;33"
1219,-0.267144,1.089588,1.951760,"e5064eedec0f6ef87daaf24edfeb995b7fcc7e6ee1f7cdeaf6fbe7803cf95989","3;4;5;6;7;8;15;16;17;18;28;29;30"
1220,-0.733219,1.149025,2.056011,"d62472ccea247e622d82fe0a4ceb05547efd7faa609391cab7bc8e8a27f223a1","3;4;5;6;8;11;16;17;18;23;26;28;29;33"
1225,-0.483901,1.081818,1.931923,"ee8cc4dbed397ccf9f33d71aceea5fef6bc7ff9b3a57fbf2fefbdfdf9eddf804","3;4;5;6;7;8;10;11;13;15;16;18;28;29;30"
1229,1.349675,1.022566,2.326632,"3f57438ed753eff85544ffe64bccbfc47acc86efcdb32dfeb2efa7843fbf7cf5","3;4;5;6;7;8"
1230,0.810825,1.056512,2.407805,"30c95cfb5c8962eedf31fa0ab3cb204078ea6e424a2b4bf5f7ed8379719b7c8a","3;4;7;13"
1231,-0.045006,1.102681,2.485646,"5f5066df6c167a783dcaf746fdefbd71fefd7feeedd7fbfe96ffeb9a1fbf6195","3;4;15;16;18;33"
1232,0.436109,1.097776,2.488925,"29a3c4893c3be8485f31fb8acfa898c07a8d6e2d84f16dd996118b3557ac5984","3;5;6;8;10;13;18;40"
1172,1.095321,0.980130,1.790604,"d21d1ebe0b063c23bd86ce176cf32343e6f7ff8764cd93eff3235a8b2474295b","3;4;5"
1174,0.632496,1.038716,1.868606,"aab678fb6c99f8d0cf77f5fe8b8dde23ef91df01a4766ed05659e3bd578cd6c1","3;5;8;10;16;17"
1178,0.598163,1.051772,1.890546,"80aadfb14e89e943fe37f2fabf8ad04b6bad6e9122ffc7d2dcb2fa6065882588","3;4;5;6;7;8;10;11;13;15;16;17"
1179,0.231528,1.063538,1.907310,"2868feed6d4ff6e6eba6fa0a6efd0512eafdef4340f7dbe977ff47334138478a","3;4;5;6;7;8;10;11;13;15;16;17;18;30;33"
1181,-0.100472,1.117304,1.997367,"2640ecaf6c0b7a480fa4d38bce4c1842fed57fe7ccf349d8f7f38bb3143f1403","3;7;8;11;13;15;16;17;18;28;33"
1185,0.224681,1.067666,1.914644,"52f116bd29c9b16eaf0df22bae9f0252eab7efc04a6bc3d1d5f01a3b501ca7eb","3;4;5;6;7;8;10;11;13;15;16;17;18;33"
1188,-0.278012,1.114029,1.987972,"b92b64e92c0bea5857e0f0e6d3c9b1207ea87fef89f34f9cd6d9abb47fab7081","3;4;5;6;7;13;16;17;18;28;29;30"
1189,0.462513,1.047897,1.883792,"a828fdf96c9df85aef31f00abbcc553beebb5711a27ee2f15fd97328d58957a9","3;4;5;7;8;10;16;17;18;33"
1190,-0.449761,1.092426,1.954688,"2aa2f4db6d99f847ef3ffc1fae885694ebafff0582fae2f1165a12f3c78cd7cd","3;4;5;6;8;15;17;28;29;30;33"
1274,0.751900,1.007103,1.616843,"1e747ead7f7ffff83feefe07cfff3f50ffddffe3a8f3b9feffffafaf277f7df3","4;5;6;8"
1275,0.200352,1.048573,1.661542,"4542c6956c2b68983eb252e6cde291cb374d6e4fa0d0cfc884226b808cf92181","4;5;6;7;8;10;11;13;15;16;19"
1280,1.073794,0.972230,1.728014,"58b1d36af3fc31572b097d280e97c8f4b69bc6101318b0d5dff510efe282a737","4;5;6;7;8"
1283,1.066434,0.971109,1.729132,"2f3c724877f2fa52794c7c262898b7bcbea986d086ba24ea165d022befd56fcf","4;5;6;7"
1284,0.765219,1.036506,1.824003,"c9bebef0adbd78d7fb5fb45dafbb561b872b7f1cb66fe2d3dfdf76fac2c4cb4b","5;6;7;8"
1287,0.647454,1.039131,1.866686,"c4c8d7f9eea9e8de3f33d2dadf8bf04b6fbf7f19237edbf09cbaff28bcd85120","4;5;6;7;8;10;11;13;15;16"
1009,0.809259,0.338874,1.559536,"31f15a6051175afc35c0e40d73db2610bccd52ee4c93103f73cd013d69926a9a","1;3;4;6"
1010,0.905054,0.609321,1.702521,"eef4f5f62d7ddf98fbfeb53dcefd5fbfffd5ff62ed67fae2bbfb45bfcfff4e57","1;3;4;5;6;7;8"
1107,0.879430,0.597478,1.644613,"a6b4bd93ec6db9c89ffbb13bfcfe5d3befdb7f57b367faf35d1adffed57947f3","3;4;6"
1127,0.667204,1.061350,2.412624,"3423d6cf5c4bea482d00f902caea2c54fadd6ee208a3cbe8b4b4821b452b6780","3;5;8;10;13;15;17;40;41"
1079,-0.743084,1.164456,2.606782,"76b5feeeec6f7fe81fbeff3a4efeef5bffdfffb23c73ebfaffffefbfb57bf443","1;3;4;5;11;13;15;16;17;18;29;30;33;40;42"
1080,-0.210754,1.108411,2.496678,"4607c69fed33feec3f82da03e8ea3f4afbc7ffc33cc3cbf2be36cf9b967fbd06","1;4;5;15;16;18;30;40"
1081,0.019354,1.117565,2.525233,"62ebecbf6c4b7ee93ff4daabcdee16507fffffc1cc5acff1fe77ef8f14aef5c3","1;3;6;7;15;17;18;29;30;42"
1089,-0.470103,1.227798,2.764986,"70ec96bf6d8fe8ceffbaf21bfeea605be9ef6e9128ffcbfabdb3df304119638a","1;6;7;15;16;33;40"
1091,-0.669730,1.149485,2.578490,"f7b5e68ffc1ffef81feadefedaeebe647fef7faffdf3f9febe3eafb61feef1d5","1;3;4;5;6;8;15;16;17;29;30;33;40"
1092,-0.628549,1.114829,2.493585,"1f3ef7df7e7bfafa7feafee65dfeb7607ffdffa7a5f3adeeb6ffaf82efef67f5","1;3;5;6;8;11;13;15;16;17;18;29;30;33"
1093,-0.430485,1.109944,2.501081,"f4ecd699fd0feecf7fb2f21aceea5d58fbcd7f91f6f7dbf2befe8f348578fb80","3;4;6;7;11;29;30"
