x,y,z
1.950197,0.069651,-1.405062
1.146378,-0.409116,-2.467109
1.871534,-0.010246,-1.651703
2.860030,0.041991,-1.481246
2.482400,-0.103778,1.424438
2.444423,-0.198769,1.421639
2.431879,-0.126978,1.421325
2.466024,-0.167357,1.422556
2.472647,-0.237529,1.422957
2.469360,-0.160794,1.437831
2.458464,-0.119396,1.452642
2.000047,-0.036624,1.057650
2.477068,-0.202957,1.438176
2.482893,-0.232243,1.450983
2.478949,-0.233210,1.451626
2.475063,-0.199837,1.437761
1.957956,-0.112555,-2.039314
1.937055,-0.097740,-1.870992
1.816228,-0.335781,-1.986559
1.757474,-0.251134,-2.022219
1.809201,-0.038706,-1.858206
1.823642,0.076201,-1.396711
1.849881,0.066764,-1.120943
1.864908,-0.334775,-2.010061
1.952043,0.067698,-1.375699
2.145410,0.002492,-2.177876
1.786875,-0.673305,-2.430010
1.819266,-0.388781,-1.945664
1.871707,-0.436603,-1.959817
2.545775,-0.069521,1.431248
2.585066,-0.447039,1.836498
2.522467,-0.137511,1.795337
2.523730,-0.211237,1.789624
2.635297,-0.262659,1.949194
2.607201,-0.261085,1.982132
2.781978,-0.343335,3.779226
2.842260,-0.356897,3.875584
2.735729,-0.377280,3.881547
3.123890,-0.166398,3.552500
2.755181,-0.189244,3.748727
1.729417,-0.129674,2.749818
1.715126,-0.418052,2.764162
1.944433,-0.085106,2.252743
1.900500,-0.091243,2.338305
1.740644,-0.090711,2.386249
2.628208,-0.570566,2.040934
1.072630,-0.038852,1.679019
2.532315,-0.214633,1.933639
2.582439,-0.291683,1.898126
1.777172,-0.093765,2.397307
2.654708,-0.377692,2.082081
2.493667,-0.244332,1.783992
1.307520,-0.053129,1.904598
1.195076,-0.043947,1.700334
2.521494,-0.281199,1.712915
-2.862692,-0.483410,1.950503
2.697359,-0.086587,-0.555330
-1.600974,-0.326213,0.718153
-1.539485,0.064850,0.846344
-0.589149,0.069198,0.286982
2.705427,-0.275037,-0.584728
2.941074,-0.208983,-0.022378
2.779901,-0.351303,-0.148722
2.779316,-0.017751,-0.130321
1.691725,-0.032915,-1.956820
1.785377,-0.104431,-1.905858
2.776263,-0.494209,-2.192531
2.165637,0.027848,-1.947888
1.719430,-0.034845,-1.954396
1.685491,-0.422136,-1.853410
2.119426,0.047852,-0.860381
2.146039,0.041964,-0.794016
1.962067,-0.431566,-2.016891
2.797342,-0.026685,-1.860859
2.421914,-0.425063,-1.897095
-1.582193,0.072278,0.677625
0.681094,-0.036247,1.921271
2.794096,-0.186491,-2.494087
2.701981,0.041832,-2.303655
2.849803,-0.173906,-2.464524
1.799459,-0.038292,-1.907194
1.978084,-0.082498,-1.844645
1.919435,0.073207,-1.611053
2.743979,-0.269468,-2.235686
2.810223,0.052780,-1.797799
2.855014,-0.339133,-1.410543
2.312883,0.030843,-0.702000
2.254312,0.031954,-0.607191
2.465169,0.025272,-0.715743
2.276915,0.026760,-0.464771
2.399262,-0.417001,-2.203615
1.957523,-0.439638,-2.151052
2.770003,-0.486730,-2.171451
2.760528,0.051218,-1.750963
2.576546,-0.427243,-1.887578
2.875986,-0.365695,-1.399074
2.872400,-0.153002,-1.423566
0.671727,-0.035475,1.839997
0.682197,-0.028125,1.635277
2.972919,-0.227149,0.446443
2.454839,-0.201211,1.498068
2.462300,-0.238609,1.422950
2.459997,-0.236690,1.421791
2.577219,-0.469584,1.515970
2.458482,-0.202853,1.425625
2.455127,-0.268145,1.494571
2.433638,-0.199147,1.497346
2.482133,-0.127890,1.463911
2.470584,-0.132639,1.542162
2.558197,-0.093842,1.588956
2.596711,-0.481331,1.699649
2.489494,-0.132570,1.651521
2.818129,-0.382108,3.847500
3.160038,-0.113777,2.540873
3.089098,-0.112574,2.509191
1.599026,-0.679676,3.040527
1.739337,-0.246536,3.609005
1.611627,-0.140396,3.423030
1.583315,-0.222217,3.328146
1.595447,-0.573424,3.255218
1.580856,-0.156000,2.976632
1.686834,-0.442279,2.801354
1.650805,-0.702515,2.751262
1.730696,-0.090771,2.405445
1.602011,-0.694294,3.140319
0.829008,-0.033734,1.691153
0.769219,-0.027037,1.581083
-4.313944,0.299168,-1.513198
2.690367,-0.017283,-0.119080
2.741584,-0.206552,-0.143647
2.720485,-0.410534,-0.673876
2.700289,-0.021837,-0.383289
2.701056,-0.107452,-0.391802
2.692389,-0.254956,-0.344473
2.772140,-0.019837,-0.119107
2.711679,-0.037398,-0.554910
2.772682,-0.133859,-0.571061
2.681665,-0.205112,-0.206735
2.237247,0.006273,0.150539
2.818710,-0.352649,-0.179541
2.726895,-0.519496,-0.700901
2.734494,-0.530009,-0.718324
2.727817,-0.489981,-0.654166
2.686611,-0.483006,-0.454856
2.675409,-0.438631,-0.411808
2.861051,-0.375417,-0.047250
2.669486,-0.385030,-0.270846
2.811807,-0.352906,-0.175995
2.698589,-0.053805,-0.255036
2.761101,-0.201333,-0.120542
2.707328,-0.147962,-0.085297
2.744474,-0.047147,-0.142514
2.690317,-0.141440,-0.191787
2.771613,-0.494384,-0.152731
2.691903,-0.069770,-0.112070
2.719903,-0.314607,-0.129119
2.719814,-0.379420,-0.145592
2.707089,-0.287723,-0.146972
2.655759,-0.393454,-0.081434
2.715227,-0.350606,-0.599350
2.717620,-0.116563,-0.440766
2.708981,-0.305687,-0.615239
2.707991,-0.312498,-0.594742
2.717522,-0.241966,-0.142823
2.713588,-0.254786,-0.164329
2.711410,-0.179197,-0.161969
2.768286,-0.178992,-0.128361
2.767903,-0.363021,-0.138128
2.764478,-0.146219,-0.172920
2.769116,-0.252645,-0.133270
2.781079,-0.350707,-0.155649
2.772791,-0.255403,-0.143329
2.759079,-0.406819,-0.128730
2.791445,-0.277326,-0.167218
2.802902,-0.075644,-0.202544
2.762245,-0.049071,-0.157795
2.742573,-0.380669,-0.149286
2.769899,-0.505731,-0.157178
2.664566,-0.332640,-0.073074
2.944995,-0.211590,0.363062
2.705153,-0.047538,-0.403780
2.705813,-0.046165,-0.402210
2.682033,-0.351541,0.006499
2.806122,-0.185692,-0.141906
2.833779,0.004409,-0.170918
2.784225,-0.135504,-0.155960
2.780680,-0.115270,-0.144756
2.752088,-0.394397,-0.108640
2.715708,-0.142313,-0.120826
2.854034,-0.473456,-0.913292
2.720612,-0.121984,-0.463091
2.698969,-0.051311,-0.394829
2.721452,-0.046597,-0.419284
2.813350,-0.182372,-0.158810
2.668248,-0.030207,-0.209029
2.659096,-0.030653,-0.194608
2.672448,-0.029452,-0.211933
2.675288,-0.031100,-0.220576
2.680474,-0.053245,-0.217394
2.685304,-0.052845,-0.222364
2.690799,-0.055649,-0.231920
2.698622,-0.385596,2.093309
2.652674,-0.556053,2.049176
1.572740,-0.227422,3.203710
0.693902,-0.032748,1.701767
1.536351,-0.124042,3.086415
0.681461,-0.027670,1.637116
0.663696,-0.029446,1.662916
1.194971,-0.413982,3.823118
0.720191,-0.033735,1.962410
1.643761,-0.412792,2.782277
1.005343,-0.233091,3.855725
2.817789,-0.168953,-0.962343
2.836407,-0.728149,-1.552243
2.798169,0.024899,-0.920337
2.301062,-0.101665,-2.439390
2.900877,-0.365222,-1.621837
2.740682,-0.713512,-1.902509
1.944859,-0.430001,-2.082888
2.570431,-0.680077,-1.845965
2.894082,-0.392613,0.065081
2.485322,-0.032637,-1.865062
2.561131,-0.667331,-1.804897
2.527461,-0.669869,-1.848642
2.912956,-0.010315,-0.124081
2.516477,-0.363385,-2.181491
2.714946,-0.503892,-0.616392
2.694928,-0.025001,-0.367965
