kf_frame_id,top_bow_frame_ids,top_hqbow_frame_ids
4,"55,88,1268,1250","55,88,1268,140"
45,"1268,110,1254","140,1268"
38,"1268,88,1250","88,1268,110"
0,"1268,55,88,1226","55,88,110,140"
46,"1268,1250","1268,110"
20,"88,1268,1250","88,1268,1213"
55,"1268,110,4,1250","4,0,110,1268"
44,"110,1268","110,1268"
110,"1268,55,162,44,45,46,175,1286,189","162,1268,175,1254,189,200,1248,1250"
88,"1268,140,175,20,162,4","140,162,1268,1254,1250"
175,"88,1268,110,1333","110,1268,88,1254,1248"
140,"88,200,1268,20,215,46","200,88,1268,215,1254,1286"
162,"110,215,88,224,1268,46","110,88,1268,1286,215,1254"
189,"1268,110,1286,1341","110,88,1309"
215,"1333,162,1309,1323","1309,1323,140,162"
224,"1333,162,1309,1323,1328","1323,1309,140"
1240,"",""
236,"1328,1309,1334,1339,1323","1323,1309,1328"
200,"140,1323,88,1268","140,1309,110,88"
246,"1333,1337,1332,1339,1328,1334,1323,1309","1323,1309,1328,1332,1334,1333"
257,"1335,1333,1346,1376,1334,1323,1343","1323,1333,1337,1328,1309,1334"
260,"1339,1334,1328,1336,1332,1346,1376,1344","1323,1333,1337,1343,1346,1339"
315,"1439,1420,1446,1430,367","1420,1439,1430,373"
293,"1420,1446,1430,1439","1420,1385,1386,1399"
276,"1386,1380,1377,1341,1339,1337,1333,1385","1399,1420,1385,1386,1339,1382"
280,"1386,1380,1377,1385,1378,1376,1333,1364","1399,1420,1386,1385,1377,1376,1380"
302,"1430,1420,1439,1446,1386","1420,1386,1430"
309,"1430,1446,1420,1439","1420,1439,367,1430,1386"
351,"1446,1475,1439","1420,1439"
356,"1439,1446","1420"
324,"1446,1420,1430,1439","1420,1439"
360,"422,1475","1420"
373,"315,1475","315,528"
367,"315,1475","309,1446"
381,"324,555","436,555"
405,"528,555,586","528,555"
391,"528","528"
422,"555,528,360,367,586","528,555,367,360,1075"
528,"436,405,422,391,1563,381,586,1430,356","436,422,405,1563,391,381,373,586,1364"
436,"528,555,586,381,1563,351,1399","528,555,381,373,1563,1446,1328"
586,"1563,1590,1581,405,674,716,1171,528,756","674,1563,1581,692,1590,703,711,405,528"
555,"1563,405,436,422,1590,1581,381,711","1563,436,674,1581,1590,405,422,381"
674,"1581,756,586,737,1590","586,555,1563,1590,1581"
692,"748,1590,756","586,1590,1581"
703,"756,790","586,765"
727,"",""
711,"765","586"
719,"776,784","776"
716,"784","776"
748,"799","799"
737,"",""
756,"",""
790,"703,716","867,737"
776,"716,719","716,719"
784,"716,719","888,867"
765,"703",""
799,"716,867,748","867,748,875"
821,"875,888,756,765","875,888,898,748,765"
810,"737,748,756,867","867,875,888,756"
867,"799,790,810,784,776,748","810,799,790,784,922"
888,"790,821,810,948,942","821,810,799"
875,"821,790,799,810,784","821,810,799,932,929"
911,"1227,1250",""
922,"867",""
929,"",""
898,"776","821,790"
932,"",""
938,"",""
981,"",""
942,"",""
948,"",""
956,"",""
965,"",""
969,"",""
972,"",""
978,"",""
983,"",""
995,"",""
986,"",""
987,"",""
998,"",""
994,"",""
991,"",""
1004,"","1069,1083,1075,1095,1102"
1006,"","1069,1083,1075,1095,1102,1099"
996,"",""
1003,"","1069,1075,1095,1083,1102"
999,"",""
1000,"",""
1069,"1006,1128,1121,1138","1006,1003,1004"
1095,"","1006,1003"
1075,"","1006,1004,1003"
1109,"",""
1099,"",""
1102,"",""
1083,"1138,1144","1006,1004,1003"
1128,"",""
1120,"",""
1118,"",""
1110,"",""
1117,"",""
1113,"",""
1137,"",""
1121,"",""
1129,"",""
1124,"",""
1134,"",""
1143,"",""
1140,"",""
1136,"",""
1138,"",""
1146,"",""
1144,"",""
1157,"",""
1152,"",""
1149,"",""
1166,"",""
1171,"",""
1161,"",""
1185,"",""
1197,"",""
1201,"",""
1203,"",""
1200,"",""
1207,"",""
1205,"",""
1204,"",""
1209,"",""
1206,"",""
1208,"",""
1226,"",""
1223,"",""
1213,"",""
1210,"",""
1229,"",""
1227,"",""
1245,"",""
1246,"",""
1309,"246,236,215","246,215,200,236,224"
1248,"","110,88,140"
1250,"46,45","88,110,140"
1252,"","110,88,140"
1323,"","246"
1254,"45,38","110,88,140,162"
1268,"88,45,110,55,46,175,38,44","110,175,140,88,162"
1286,"88,110,55,162,189,44","162,140,246,110,88"
1332,"",""
1336,"",""
1328,"260",""
1333,"246",""
1334,"260",""
1335,"",""
1343,"",""
1341,"",""
1337,"",""
1346,"",""
1339,"",""
1360,"",""
1367,"",""
1364,"",""
1356,"",""
1344,"",""
1351,"",""
1359,"",""
1366,"",""
1363,"",""
1370,"",""
1368,"",""
1376,"",""
1377,"276,280",""
1380,"276,280",""
1382,"",""
1378,"",""
1385,"",""
1386,"276,280,1333","280"
1399,"280","280,276"
1475,"351,367,373,324,309,315,360,293","356,315,1204,1166,1171,1161,1185,1197"
1439,"315,309,302,324,351,293","309,315,351,302,324,367"
1420,"293,302,324,315,309,351","302,293,309,280,315"
1430,"309,302,324,293,315,351,276","302,309,315,324,351,280"
1446,"324,309,351,315,293,302","367,351,360,315,309,373,436"
1563,"586,555,1368,528,716,1380,1386,162","586,555,674,528,405,436,692,422"
1581,"586,674,555,748,737,692,703,784","586,555,674,692,765,748,703,716"
1590,"586,692,555,674,716,748,719,776","586,674,555,692,765,748,716,703"
