mp_id,mp_x,mp_y,mp_z,descriptor_hex,observations
1,0.705874,-1.376667,4.207608,"7a8b12ac1ac219698504f5a32dcf2250eeb19fe14c8b02ddd0e1aadb3526275b","8;25;35;51;55;57;68"
825,0.123462,0.038031,0.354442,"ad56adedad77dfda15ee5cf7db7da3aedd58972eadf6788ae3dfe7a79efd9cf1","25;33;35;51"
840,-0.133942,0.036242,0.496459,"a4e8c48f5c0ba2c81eb0f04ad0c0490279cc6ad922f6cbf21c008f34d52b1280","0;3;8;25;33;57"
844,0.191475,0.023154,0.856639,"94cd1bbaac804eec141a996275e1b94059c21e6f79030a3f38aeef9c1c7bf020","0;3;25;33;35;57"
849,-0.149280,-0.438153,2.132372,"d3c94ffc44826c75e500f646318bb4416aa13fc8e99f24cd32e9aa8037806028","3;8;25;35;57;68;80;98;132;156;170;182;206"
669,0.014449,0.048701,0.210624,"1400eac154e2e952540f5f12119b3a6879a8179998b420c2470db2c5b5cb74e2","3;33;35"
1370,0.007748,-0.465682,2.126648,"6642ec98ed79948ecf5774b3ccec3f48c311ab1186214fd04777531f947d5d57","0;35;68;80;132"
1371,0.005636,-0.465987,2.159831,"521cf89ccf7d914fcfff9c9b2eac764be7bbbf01966bb6d05b591ebf974c555f","33;35;57;98;132;156;170"
1379,-0.020048,-0.181410,2.116922,"50a19e3c19cf512bb6b5e608c7d3005030bce8201acb131dd9e3515d3000a60a","8;25;33;35;68;156;170;182"
1070,-0.074752,0.037720,0.514621,"a6a46d9bfcabaae89eb3f9b3f1cefc407bdb7f93bef74ff71c129ff4954bf590","0;3;8;25;51;55;57"
1078,0.000106,0.014842,1.139595,"27dd73eef484def49148f96270fabd60defb17ebed0328ff623cae881dfbf0a9","35;51;68;98"
816,0.034987,0.046060,0.238427,"0ba2b29bf5b5b8538f5d5dd78c8afe8ccf0b979596380ad10e5c9aeb9eceb9c5","25;33;51;55"
725,-0.100952,0.036491,0.493050,"508d169fce02aee5bc82cb02ece229537be76ae368d3dbefbc22cf08007aa108","0;25;33;35;55"
726,-0.045324,0.038652,0.521377,"1a1962ddcfdbfc673d24fe23acbf266c7abfff8034bb71def777da8bb70cfdde","0;3;8;25;33;51;55"
730,-0.106958,0.037917,0.513829,"56a1969e8d0eaecdafb2c303ccfa2d4be9d76ff370d1cbf0bd32cf16817ba102","0;3;8;25;33;35;55;68"
733,0.010895,0.032739,0.550362,"47f8849f8d05b6a89efa9207ecfa23c3d165fbe76445dbf9ac32cf9f1c7f195e","0;3;25;33;35;51;55;57;68"
734,0.010699,0.032948,0.554079,"c376849f2f0ab6ed9ef28be3ecf801c2f765fb636545cfdbbc32cfbf1c7e9917","33;51;55;57"
736,0.187599,0.003272,1.100822,"84fe8c9f9ca016ae9abb0870e4f14843916e6943624c8b336c36fdad80799803","35;51;57;80;98;111;132"
737,0.349030,-0.000844,1.048146,"8cfffe9f9f7397fe16ff5f3768ecef4b596ea773f6fcbbbf6b27f5c7877fdc5b","8;25;51;55;57;80"
738,0.285109,0.003034,1.022513,"c4fc9417a9ed96afbaff2119e6ec4e1b817be812366cda332d16556bc075875e","3;35;51;57;68;80"
739,-0.096871,0.009544,1.121256,"cfcfee9ebc32ffaedfd6df13ece8bf4bf7e73feff4cd2fef7e7fdf8186ffbd4d","3;8;25;33;35;51;55;57;68;80;98;132;156;170"
747,-0.455135,-0.034983,2.140737,"3ffcf6ff7f57fff89ffed6a76dfebfe5fffdffe3edf3fbffffffefbf97ff7df7","51;55;80;111;132;182;206;220;221;226;234;241"
749,-0.374289,-0.078062,2.247223,"5e90b69a8bfc98ca8f5f851bcefe6ecea753ff111645baf19b775bff924dad57","0;3;8;25;33;55;57;98;111;220;221;224;226;234"
671,0.014517,0.048193,0.209868,"180d1be895e352478601d80237df2060d83a02101aab22afe9c58649900af422","0;3;8;25"
821,0.032903,0.040103,0.346222,"b4465eec2602cf305406f3825349354972e4076a68b5058e70aae20035fb7120","0;25;33;51;55;68"
1052,0.102110,0.031436,0.481362,"a5acc29beea9efda1f7ef0ffa9eaf7497bee6e9eef7feff31c2af7a8fddd70dd","8;33;51;55;57;68"
836,-0.104985,0.037726,0.499675,"5e1c7ecbaf7efec0ad36df33ceaf2f53efd7ffe32ce7c9e2f7f78e93267f2d57","25;35;51;55;57"
837,-0.132230,0.036300,0.485093,"a42c449bccabec4b1eb2f15ae1e8510969aa6ab322f6cfde3402df34d578d280","0;3;8;25;51;57;68"
839,-0.132971,0.036869,0.494247,"2628e997cc29eec81eb3d18b90e8590a7bcf6bd71272cfe03c148f3c857bb380","3;8;51;55;57;80"
790,0.125490,0.037537,0.355054,"098511c9f4e7297f14095b72dc37a8e45c1b16b8139841d72d94bac0928aa1a9","0;8;35;51"
802,0.001161,0.033206,0.508081,"762e928ef82b3ee83ea6e829c4e24150feddebf22c43c97ebc360f3f91732382","0;8;25;35;55"
804,0.008210,0.032045,0.542460,"86de96bf8ba436a8be9e4397ece26b4be577abd372cc8bebac32df479877ad12","0;3;8;25;33;35;51;55"
681,0.110321,0.041964,0.270269,"b94767c56412ec77544ad2f61128b4e17e8416afedbb258e326af2842df8f08d","0;3;8;25"
672,0.015202,0.048994,0.212337,"908d1bf83cc15246d409d82236df2060d83a8e503ba902bfe985a2cb9008348b","0;3;8;25;33"
685,0.024704,0.044715,0.271387,"88888edd45f4a947d61b4412a9a2b0ed61aa328833dc26f10563fa899344adec","3;8;55"
690,-0.073395,0.044349,0.301136,"a66083d26d69a0c88b5b113888cd5cae9958e35303648ae00d1059ebc20b17b0","0;8;51;57"
693,0.013002,0.041569,0.332057,"b0d6798936c397f51c4050f2941da0415e198761e3ac649fe101aad33588b5fb","0;3;8;25;33;35;51;55"
695,0.110841,0.038208,0.341504,"1f95f5cbbb303eff1f1309b25d3eece2f753beb2b7403ff3aadf0fc6b6f6a105","3;8;25;35;51;55"
