frame_id,x,y,z,yaw
3,7.12683e-05,0.00010603,0.000335835,-0.000110171
35,0.000303386,-0.0018586,0.046583,0.00124615
33,0.000581333,-0.00153075,0.0453157,0.00186426
0,0,0,0,0
25,0.000266968,3.80533e-05,0.00459678,0.000274821
8,-0.000121878,2.25952e-05,-1.13635e-05,-0.000329599
68,0.00180225,-0.006762,0.154161,-0.000974335
132,-0.00169451,-0.0242536,0.48827,0.00410875
111,-0.00107833,-0.0196198,0.371961,-0.00057704
80,0.00260965,-0.010457,0.214345,0.0033225
55,0.000643736,-0.00365197,0.0885047,0.00200707
51,0.000312571,-0.00278737,0.0634233,0.0011881
57,0.00189495,-0.00426382,0.103392,0.00238563
98,0.0033601,-0.014965,0.30647,-0.000753713
206,-0.0478442,-0.0441857,0.931687,-0.00171036
198,-0.0268343,-0.0429955,0.904875,0.00114458
182,-0.0141852,-0.0402236,0.867196,-0.000119218
170,-0.00607633,-0.0363789,0.774973,0.00207815
156,-0.00194006,-0.031263,0.64889,0.00378873
679,-1.90391,-0.0587971,1.45021,3.12968
220,-0.0960582,-0.0465647,0.986835,-0.00620229
224,-0.118427,-0.0474395,1.00349,-0.00963806
223,-0.112061,-0.0463726,0.995877,-0.00836691
213,-0.0697136,-0.0446535,0.958403,-0.00616767
221,-0.102452,-0.0464788,0.988642,-0.00451858
304,-0.441542,-0.0567427,1.3426,-0.0252978
234,-0.167367,-0.0485378,1.03714,-0.0153436
226,-0.12832,-0.0458601,1.00951,-0.0111665
241,-0.200903,-0.0490283,1.05867,-0.0157327
252,-0.250027,-0.0506299,1.10795,-0.0172887
246,-0.226048,-0.0492779,1.07943,-0.0149923
290,-0.389487,-0.0554569,1.27898,-0.0307056
258,-0.273107,-0.0508101,1.13568,-0.018316
292,-0.397539,-0.055505,1.29002,-0.0307084
272,-0.323325,-0.0528131,1.19788,-0.0201181
282,-0.358034,-0.0552367,1.2418,-0.023428
298,-0.41672,-0.0559567,1.31386,-0.0338527
362,-0.661121,-0.0647468,1.61739,-0.0170301
345,-0.593889,-0.0628507,1.53564,-0.0216026
334,-0.553489,-0.060345,1.48222,-0.0275664
321,-0.501076,-0.0595058,1.41699,-0.0297831
318,-0.489613,-0.059724,1.40287,-0.0243346
442,-0.967481,-0.0751632,1.95747,-0.0260767
385,-0.760297,-0.068038,1.74004,-0.0128208
374,-0.709768,-0.0661902,1.6793,-0.0132743
396,-0.807997,-0.0697305,1.79778,-0.0225374
408,-0.853137,-0.0714305,1.85551,-0.0224947
440,-0.958935,-0.0749069,1.95318,-0.027935
421,-0.899671,-0.0738677,1.91364,-0.0279948
434,-0.936182,-0.075174,1.94378,-0.0254941
448,-0.992521,-0.0755475,1.96719,-0.0269882
447,-0.989642,-0.0754885,1.96562,-0.0228913
452,-1.0107,-0.0759229,1.97177,-0.0286664
456,-1.0276,-0.0762082,1.9769,-0.030266
468,-1.08406,-0.0765963,1.9874,-0.0368728
503,-1.24432,-0.0761429,1.98009,-0.0882995
489,-1.17835,-0.0773752,1.98657,-0.050114
539,-1.39603,-0.0756825,1.91609,-3.06332
512,-1.2833,-0.0764511,1.97048,-0.16262
530,-1.35966,-0.076276,1.93729,-2.9274
545,-1.41983,-0.0739337,1.90069,-3.06829
563,-1.4829,-0.0719202,1.84481,-3.12708
556,-1.45976,-0.0735282,1.86935,-3.12208
551,-1.44174,-0.0737707,1.88476,-3.09863
574,-1.5188,-0.0707656,1.80608,-3.13519
640,-1.74761,-0.0642266,1.57965,3.12692
595,-1.56888,-0.0694706,1.72598,3.1309
720,-2.07152,-0.0541024,1.31165,3.13935
821,-2.11362,-0.0492426,1.22118,3.1322
849,-2.13142,-0.0454957,1.13465,3.12225
870,-2.13316,-0.0433537,1.05815,3.11358
986,-2.23488,-0.0282721,0.614583,3.1041
983,-2.23116,-0.0290107,0.628925,3.10647
988,-2.23708,-0.0280185,0.603302,3.10557
984,-2.23253,-0.0285724,0.622513,3.10393
987,-2.23602,-0.0282531,0.607265,3.10564
991,-2.24138,-0.0273765,0.586959,3.10193
998,-2.25027,-0.0262482,0.552025,3.10105
996,-2.24922,-0.0265074,0.56339,3.10166
993,-2.24295,-0.0277113,0.578033,3.10207
1004,-2.25889,-0.0244953,0.520178,3.10241
1003,-2.25786,-0.0249053,0.524128,3.10153
999,-2.25062,-0.0260913,0.548658,3.10151
1012,-2.27069,-0.0229303,0.477702,3.10021
1009,-2.26573,-0.0233426,0.491144,3.10229
1005,-2.25994,-0.0242552,0.515312,3.10383
1010,-2.26733,-0.0233124,0.488055,3.10303
1029,-2.2913,-0.0209659,0.384621,3.09691
1016,-2.27515,-0.0221387,0.457066,3.10343
1015,-2.27372,-0.0224859,0.460933,3.10381
1026,-2.28781,-0.0209663,0.400875,3.10038
1021,-2.28198,-0.021297,0.427877,3.10125
1023,-2.28607,-0.0207438,0.416286,3.09755
1019,-2.27929,-0.0211735,0.440267,3.10033
1025,-2.28755,-0.0211397,0.404827,3.10011
1032,-2.29392,-0.0207687,0.367192,3.09841
1049,-2.28109,-0.0178562,0.255467,3.09063
