x,y,z
0.890445,0.109486,-0.110443
0.870362,0.267871,-0.030008
0.849200,0.285325,-0.060262
0.831361,0.289947,-0.075496
0.858564,0.298975,-0.069891
0.596891,0.065903,0.328523
0.613726,-0.010570,0.321622
0.601020,0.041624,0.318284
0.682544,-0.088830,0.272072
0.747828,-0.078552,0.175552
0.611600,-0.000735,0.312876
0.723023,-0.119492,0.247314
0.677980,-0.067281,0.277256
0.736984,0.075392,0.158049
0.593606,-0.043980,0.342509
0.609760,-0.033120,0.350396
0.702989,0.196357,0.359244
0.679574,-0.009699,0.252501
0.945904,0.239767,0.036993
0.765178,0.244233,0.134786
0.787455,0.001556,0.136288
0.739760,0.185006,0.145685
0.733356,0.237003,0.100418
0.744957,0.253157,0.021650
0.729861,0.234018,0.106890
0.727394,0.241752,0.064525
0.737357,0.250057,0.019565
0.733204,0.249960,0.042439
0.731956,0.260526,-0.009490
0.730062,0.257032,0.004103
0.623784,0.162329,0.293728
0.640404,-0.039539,0.295421
0.680737,-0.059427,0.274886
0.647135,-0.190381,0.347461
0.636700,-0.184445,0.332976
0.572780,-0.067448,0.375758
0.620334,-0.051655,0.343072
0.686278,-0.120935,0.273067
0.357932,-0.032642,0.534916
0.687375,-0.122554,0.276146
0.687249,-0.078355,0.249438
0.702410,-0.119106,0.254892
0.873632,0.191836,-0.069939
0.887924,0.260424,-0.165028
0.913574,0.011558,-0.132011
0.908127,0.073546,-0.108618
0.905116,0.036451,-0.227917
1.042704,0.239623,-0.471319
0.926075,0.350418,-0.366474
0.912069,0.332357,-0.418266
0.604211,-0.072798,0.347322
0.599356,-0.019194,0.352098
0.671081,-0.025012,0.276877
0.632031,-0.007855,0.303087
0.576768,-0.012001,0.394268
0.608383,0.088357,0.319697
0.438846,0.063734,0.334115
0.642344,-0.033297,0.288557
0.646168,0.002566,0.300001
0.619415,-0.063597,0.337156
0.601185,-0.054075,0.348002
0.678584,0.121923,0.204011
0.920903,-0.080898,-0.249748
0.941892,-0.114897,-0.259861
0.931291,-0.087960,-0.220069
0.942712,-0.115051,-0.261153
0.909744,0.080176,-0.192057
0.955601,-0.170051,-0.130470
0.875303,0.193416,-0.055724
0.728573,-0.160526,0.190187
0.871290,0.156343,-0.220897
0.692828,0.091879,0.203526
0.654882,0.099156,0.242412
0.657507,0.084128,0.247096
0.695062,-0.048693,0.248175
0.740120,-0.184797,0.188954
0.858080,0.174942,-0.060810
0.872672,0.121858,-0.120688
0.774328,-0.027693,0.155363
0.888723,0.120712,-0.174876
0.710604,-0.116061,0.237696
0.892857,-0.014827,-0.134941
0.877600,0.166200,-0.079414
0.933936,-0.073289,-0.143590
0.940990,-0.108729,-0.221574
0.886748,0.259801,-0.147797
0.895797,0.105532,-0.085559
0.890962,0.057883,-0.231845
0.889205,0.291941,-0.103525
0.843574,0.204401,-0.155540
0.859834,0.184492,-0.211057
0.033100,-0.051165,0.682863
2.037546,-0.716363,1.123251
0.631147,0.167131,0.311754
1.999953,-0.704107,1.104642
0.575149,0.000953,0.331505
0.672665,-0.081881,0.282808
0.670950,-0.081409,0.282889
0.648078,-0.123033,0.318337
0.675794,-0.019537,0.245227
0.656238,0.036050,0.260451
0.522296,-0.031489,0.452826
0.590184,-0.087722,0.394143
0.511308,-0.072351,0.444347
0.578245,-0.065837,0.384243
0.568153,-0.025749,0.381567
0.623085,-0.047707,0.322277
0.428375,-0.152450,0.478152
0.598416,-0.228040,0.434827
0.524142,-0.031522,0.453288
0.544837,-0.067693,0.414395
0.671723,-0.174566,0.306185
0.597949,-0.013585,0.340820
0.614828,0.159825,0.289937
0.614992,0.159494,0.288495
0.650430,-0.149059,0.336158
0.712710,0.206324,0.375396
0.701012,-0.169793,0.279210
0.448048,0.131009,0.556866
0.634874,-0.055661,0.311435
0.549636,-0.064821,0.418503
0.666160,-0.024140,0.272926
0.579751,0.027938,0.341949
0.569687,0.148184,0.319564
0.601921,0.055231,0.316937
0.749363,0.063509,0.143030
0.822323,-0.144254,0.117611
0.781230,-0.124793,0.175290
0.733073,0.096208,0.149283
0.701933,0.052926,0.209868
0.666475,-0.019227,0.269109
0.624738,-0.106736,0.315838
0.422185,-0.021913,0.341200
0.542436,-0.067688,0.408406
0.545414,-0.066493,0.406939
0.517860,0.077198,0.408315
0.532024,0.096659,0.430575
0.602630,-0.186120,0.374971
0.608097,-0.200645,0.349654
0.630218,-0.196027,0.412870
0.613823,-0.208032,0.359607
0.630532,-0.083338,0.340294
0.616957,-0.208744,0.361207
0.672650,0.120381,0.200555
0.593103,-0.218450,0.390618
0.592121,-0.219623,0.392256
0.591461,-0.183205,0.381492
0.597999,-0.147285,0.397259
0.699626,0.196328,0.358090
0.714298,0.208221,0.378502
0.778692,0.024074,0.122045
0.748086,-0.161001,0.182214
0.715842,0.178551,0.139424
0.759851,0.192255,0.165621
0.748020,0.189869,0.160993
0.697017,-0.116906,0.251638
0.695210,-0.169093,0.275938
0.699875,0.231793,0.120663
0.662203,-0.171523,0.296936
0.668224,-0.172830,0.302358
0.658360,-0.168711,0.295309
0.668337,-0.171796,0.302689
0.665671,-0.023722,0.274692
0.760051,-0.000349,0.152352
0.752206,-0.000178,0.150212
0.767000,-0.000451,0.155152
