mp_id,mp_x,mp_y,mp_z,descriptor_hex,observations
1020,0.245062,-0.169861,0.583407,"079fb7dbeae5afdbdf5b5974c4f6bc2fa75b731f93c13af10d1e5fc69853a7f5","20;21;31"
1023,0.247735,-0.073956,0.575602,"356495e7964f6ffc76a2eb4a5373596079cc7aea69f4790af5ae8704a9fa40a0","20;21;24;31;41"
1025,0.243071,-0.136801,0.581892,"cbf1fd250b5cb9bdab753e9dddaf5e87a657f9659368b6c1ef594fff47868ff1","20;21;24;31;41;51;294;303;320"
1035,0.235499,-0.187530,0.572596,"218789ebb42fe7bf56297b44d3611820594a222dd3b8593fec8eb744d8cad0a0","20;21;24;41;303;320"
1037,0.233510,-0.156460,0.585427,"c4309de1a06c691b28b7c3109d17487b26957d9819d4b140d5b0fa44a0c02570","20;21;24;31;41"
1044,0.240744,-0.123875,0.582301,"1aa8fef0ebd9b963bfb736bb0dff6618a7bbf711165926d35fc75de3e7848fcb","20;21;24"
1047,0.085980,0.179337,0.586439,"d3b690042a1e102b7ae28afc8c32c6b6b735e825a54f874a98365f3e88640b1d","0;20;21;24;31"
1053,0.227657,-0.092207,0.582731,"521895be2924388eaf1bca41ecff694ae7777d830a41dbe191f65a8b9071210b","20;21;24;31;41;51;303;320"
1055,0.227205,-0.173180,0.585596,"9ac916bc13c23667b500c2832d9a20c0e0b9abc14e9b12fdb3e58a033004290a","20;21;24;31;41;51;294"
1056,0.227724,-0.074980,0.587610,"e62cd6d7cdbdb4cfdfb7b21b28f8778fe967eb10346fdae21f1a576bc37ddc8e","0;20;21;24;303"
1064,0.230723,-0.202319,0.585033,"105d7bef36464f383448dfe27757a96076fc1deac990392ff1afa28034b32471","20;21;31;41;294;303;320"
1406,0.252126,0.184638,0.543195,"6ab9e05ad9dd95d7835dbcbd2add5ebc899ad5119e6bfab16b5d14fbf30edef7","21;24;41"
1417,0.280814,-0.194012,0.568738,"47e2edc1bc0bcf9ccab59aecd769d94213447d7d8261edb4e81caff48cbbd121","21;24;31;58"
1419,-0.042404,0.194108,0.569585,"5d33aa240374135822ecdfad5ff6e3b434f4fcf48d13b088d3e5218bab672f77","0;20;21;24"
1432,0.273602,-0.140246,0.563885,"929f629c7392ba67bd08f0e72c8e24d5eebb87c5e48b04ff32748a8b5d04ab9f","21;24;31;41;51;289;294;303;320"
1433,0.277360,-0.108170,0.564325,"039f73d8f4b4f857ff497af3bcbeb460ef3b179597ba26d51e3cbac295c0e1ad","21;24;41"
1435,0.267806,-0.016693,0.566525,"d506c5a53a2ae8183ca2b3ffd72a9d5b37c56ea1a1c5c54e9422eb94eda12301","0;20;21;24"
987,-0.174414,0.182323,0.578297,"0d6f7147340eefb87d087f44d7419d34904c466ee1b0292f26fd25844ab343a1","20;21;24"
988,0.256462,-0.198174,0.572817,"591517ed966f7d3b2468ea42df37007176973da8d998511df7eb620438e2a033","20;21;31"
989,0.257210,-0.163308,0.577442,"01dbec43a41fbcbc5e7136c7f12c5668874f335cc7f85db56edb75445d9ed999","20;24;31;41"
991,0.239368,0.178229,0.564230,"f26150eb4e89ea48ef00e10aae8a5d506a896fcb4a27c7d194b8023975836380","0;20;21;24;31;41;51;303;320"
992,0.241157,0.179886,0.571222,"f66442ca4d69e648ed06b90a0a8a3d146a894ee36a27d8dbb7988239755b6686","0;20;21;24;31;41;303;320"
993,0.242857,0.180825,0.574692,"a47442894c29a640ad22f9ef000a051168894ae36827d8da3410823f597b7292","0;20;21;24;31;41;303"
999,0.250004,-0.174529,0.575007,"3f7eaa90cdb5dfd6c3de9c8f28ec778fede3d3c7ee6fbef23b5fcfbbdf7d7ede","20;21;24;31"
1003,0.250793,-0.175677,0.577446,"b3fea8bcec75dfde9ade9c9f30ac772acde357d5ee6ff2bbfb5ffebbd55cf6df","20;21;31;51"
1004,0.249254,-0.149141,0.564547,"d0309f7402ea1103b4c7e73037b7013ba235e90029cdb20ac1e3520360602773","0;20;21;24;31;41;51;303"
1011,0.249128,-0.115843,0.566889,"0db65941763e78197c697ff4dd1298f4360c963cb7b475d64efd22c4ce86cbb5","20;21;24;51;320"
