kf_frame_id,top_bow_frame_ids,top_hqbow_frame_ids
18,"312,308,315,319,324,322","312,308,315,301,322"
17,"312,315,308,319,324,322","312,315,322,301,308,319"
0,"319,315,312,322,324,308","312,322,319,315,308,301"
24,"308,312,301,319,315","312,308,301,294"
145,"447,450,461,482,440,436,428,426,266","447,450,440,436,433,461,428,241,426"
44,"294,287,301,282,315,308","287,282,275,294,301"
62,"287,282,294,275,301,308","287,282,275,294,266"
34,"301,308,294,315,287","301,287,308,294,312"
68,"282,275,287,294,266,301,413","275,266,282,287,259"
91,"248,241,426,413,259,266,433,436,428","241,248,259,426,428,433,266"
80,"266,413,259,275,248,241,282,426","266,248,259,241,275,413,282"
119,"433,436,426,428,241,440,248,447,259","433,241,428,426,436,440,248,447"
241,"426,428,91,433,119,436,413","91,119,426,428,433,80,145"
259,"413,80,91,426,119,428","413,80,91,426,68,428"
248,"91,413,426,428,119,80,436","91,80,426,119,413,428,68"
282,"68,62,44,413,80","62,68,44,413,34"
275,"68,80,413,62","68,62,413,80,44"
266,"413,80,91,426,68","413,80,68,91,62"
287,"62,68,44,450,80","62,44,68,34"
294,"44,62,34,68","34,44,24,62"
308,"24,18,17,34,44","24,34,17,18"
301,"34,24,44,68,62","34,24,17"
312,"17,18,24,0","24,0,17,18,34"
315,"17,18,0,24","0,17,18,24"
324,"18,17,0,24,145","0,24,18,34"
319,"0,17,18,24","0,17,18,24"
322,"0,17,18,24,34","0,17,18,24"
426,"241,91,119,248,259,266","241,119,248,91,259,145"
413,"266,259,80,248,91,241,275,282","259,266,248,275,80,282,91,241"
428,"241,119,248,91,266,259","241,119,91,248,259,145"
433,"119,241,91,248,259","119,145,241,91,248"
440,"119,145,241","145,119,241"
436,"119,241,145,91","145,119,241"
447,"145,119,241","145,119,294"
450,"145,287,119,241","145,119,294,319"
461,"145,18,119,68","145,119,312"
482,"145,119,294,266,80",""
