frame_id,x,y,z,yaw
18,-0.0111344,0.00328313,-0.0136113,0.00839927
17,-0.0111347,0.00358865,-0.00952641,0.00527475
0,0,0,0,0
24,-0.019074,0.00410736,-0.0333232,0.0204905
145,0.382986,0.0105604,-0.26875,2.98682
44,-0.00773639,0.000539292,-0.122531,0.0573049
62,0.00532593,0.00579105,-0.181349,0.112108
34,-0.0152363,7.87172e-05,-0.0812973,0.0396071
68,0.0313776,0.00387184,-0.225288,0.156405
91,0.177317,-0.0112043,-0.304701,2.27157
80,0.0937745,-0.00167696,-0.273578,0.397517
119,0.283491,-0.000762024,-0.30789,2.85917
241,0.211446,-0.017484,-0.298142,2.65211
259,0.151132,-0.0153785,-0.285513,1.21149
248,0.178131,-0.0138955,-0.301582,2.17077
282,0.0425104,-0.0115401,-0.205903,0.148769
275,0.0753789,-0.0193422,-0.239235,0.213376
266,0.116699,-0.0176647,-0.269498,0.521364
287,0.0313808,-0.00540202,-0.180743,0.110396
294,0.0291208,-0.0147678,-0.13661,0.0903754
308,0.0143451,-0.0164943,-0.0468175,0.0505442
301,0.018184,-0.020963,-0.0960464,0.0702567
312,0.0259379,-0.0207,-0.0185729,0.0443445
315,0.0329595,-0.018147,0.00275084,0.0380444
324,0.0411454,-0.0124592,0.0609553,0.0292277
319,0.03307,-0.0154701,0.031798,0.0287185
322,0.0397419,-0.0127254,0.0517861,0.0270549
426,0.227502,-0.0107881,-0.300379,2.5995
413,0.128744,-0.0122003,-0.277382,0.753353
428,0.248533,-0.00684736,-0.302549,2.70109
433,0.30387,-0.00114395,-0.296243,2.85533
440,0.355527,0.00127419,-0.271727,2.9253
436,0.33041,0.00296704,-0.287527,2.90009
447,0.37984,0.00465163,-0.255719,2.97383
450,0.390526,0.00242152,-0.26007,2.99297
461,0.380146,-0.00684228,-0.271976,3.03833
482,0.362081,0.0124506,-0.329086,3.00837
