kf_frame_id,top_bow_frame_ids,top_hqbow_frame_ids
0,"834,837,844,826,828,261,805,226","834,837,839,831"
5,"839,837,844,761,765,805","837,839,844"
3,"837,834,839,813,789,686","837,839,834,831"
2,"837,834,844,799,831,828","837,834,839,831"
7,"839,837,747,801,769,791","844,839"
10,"844,629,340,680,725,839,197","844,848,839"
8,"837,839,805,527,844,767","844,839"
16,"848,266,728,567,828,808,831","848,850,844"
13,"844,725,806,797,805,808,721,318,223","844,848,850"
18,"850,607,854,416,599,936,165","850,848,854"
20,"850,854,292,477,810,283","850,854,848"
22,"854,775,131,736,982,178","854,850"
26,"858,854,862,782","858"
24,"854,858,777,268","854"
28,"858,860,817,163,911","858,860,862"
27,"858,862,734,540,860,820","858,860,862"
30,"860,858,862,810,353,178","860,862,858"
32,"862,860,477,269,457,342","862,860,858"
41,"872,694,867,544,717,273,146,135","872,867,876"
38,"867,272,664,862,694,591,137","867,862,872,860"
35,"867,115,732,607,449,452,281","867,862,860"
135,"965,963,986,631,974,605","965,963,969"
44,"872,876,658,146,797,954,934,694","872,876,867"
46,"876,880,741,359,455,441","876,872"
48,"876,190,183,351,535","876,880,872"
50,"880,876,599,255,563,129","880,876"
54,"883,885,880,888,218,686","883,885,880,888"
58,"888,891,885,883,930,643","888,885,883"
52,"880,883,817,452,1096,885","880,883"
56,"885,883,888,891,167,221","885,883,888"
64,"891,894,811,687,694,501","891,894,896,888"
61,"891,888,885,1087,806,978","888,891,885"
66,"896,894,902,899,891,601","894,896,891"
74,"902,905,912,907,639","905,902,907,909"
70,"899,896,902,905,277","899"
68,"896,899,496,391,902,371,805","896,894"
72,"902,899,905,907","902,905,899"
76,"905,907,909,902,913","905,907,909"
78,"907,909,911,905,914","907,909"
79,"909,907,911,912,913","909,912"
81,"912,911,909,913,914,907","911,912,913,909"
88,"917,921,923,914","921"
84,"913,912,911,914,917","912,913,911"
82,"911,912,913,914,909,917","912,911,913,909"
86,"914,917,921,911,913","917,913"
90,"923,921,925,913,914","921,917,923,925"
94,"923,928,921,926,925,930","923,925,921,926"
92,"921,925,928,926","923,921,925,917"
97,"921,926,925,923,928,930","925,930,926"
95,"928,925,923,926,921","925,923,926"
99,"932,925,943,930,928,923","930,928,932,934"
102,"932,934,930,936,591,684","932,934,930,936"
100,"934,932,930,921","930,932,934,928"
104,"940,936,1083,1085,957","934,936,932,930"
105,"936,943,934,940","934,936,932,930"
107,"936,940,954,943,926,681","936,934,940,943"
110,"943,940,455,946","943,940,946,936"
113,"946,943,197,391,940,677","946,943,940"
115,"946,943,950,785,936,35","946,943,950"
117,"946,950,641,809,361,28,739","946,950,943,954"
119,"950,678,940,0","950,954,946"
121,"950,954,354,957,288","954,950,946,957"
124,"954,957,925,793","954,957,960"
126,"957,954,963,269","957,954,960"
129,"960,954,957,782","960,957,954"
127,"957,960,954,911,493,676","957,960,954"
131,"963,960,516,917,359,826","960,963,965"
133,"963,960,978,787","963,965,960"
139,"969,926,357,459,831,817,200","969,965,963"
137,"965,969,963,267,913","965,969,963"
141,"969,694,459,734","969,965,963"
143,"974,969,809,978","969,974,965"
149,"978,974,982,97,940,1012","978,974,982"
146,"974,969,274","974,978,969,982"
153,"982,978,620,717,649","982,978"
151,"978,974,982,1020,356,271","978,982,974"
157,"982,986,978,797,456","982,986"
155,"982,978,909,986","982,978,986"
161,"986,1088,1076,363","986,982"
159,"986,978,982,618","986,982"
163,"986,373,450,28,1079","986"
165,"969,1088,471","986"
170,"891,241,423,1060,599","1000"
167,"1096,56,811",""
172,"1000,1025,982,516,940","1000"
176,"1000,1093,466,828,400","1000"
174,"1000,533,757,595","1000"
178,"1000,777,416,905,647,926,1088,365","1000"
180,"119,1009,599,79,717","1009,1000"
183,"1009,48,978,1000,591","1009,1012,1000"
186,"1009,1012,13,747,438","1009,1012,1016"
190,"1012,1009,1073,1016,1020,48,896","1012,1009,1016"
194,"1016,1012,527,668,666,819,677,791","1016,1012,1009,1020"
197,"1016,1020,828,584,10,573","1016,1020,1012,1009"
200,"1020,1025,1016,969,1045,365","1020,1025,1016"
210,"1029,1032,837,1025,810,1045","1029,1025,1032,1020"
207,"1025,1029,1020","1025,1029,1020"
203,"1025,1020,813,725,384,1032,95","1025,1020,1016,1029"
216,"1037,1032,1043,780,524,1039,1041,389","1037,1032,1039"
213,"1032,1029,741,1037,721,287","1029,1032,1025,1037"
218,"1037,1039,1041,1045","1037,1039"
220,"1039,1043,1045,1041","1039,1041,1037"
221,"1041,1043,1039,1045","1041,1039,1043"
224,"1043,1045,1041,1050","1043,1041,1045"
222,"1041,1043,1039,1045","1041,1043,1039"
223,"1043,1041,1045,1039","1043,1041,1039"
226,"1045,1043,1070","1043,1041,1045"
232,"1050,1055,1045,1070,1043","1050,1043,1055"
229,"1050,1045,1043,1055","1050,1043,1045,1041"
238,"1055,1060,1045,1070","1055,1060,1050"
235,"1055,1050,1060,1066","1055,1050,1060,1043"
241,"1060,1066,1055","1060,1055"
251,"1070,1073,1066,1060","1070,1073,1066"
247,"1066,1060,1070,1055","1060,1066,1070"
244,"1060,1066,1055","1060,1055"
258,"1076,1073,1070,1045","1076,1073,1070"
255,"1073,1070,1076,1066,1045","1073,1076,1070"
253,"1070,1073,1066,1076","1073,1070,1076"
261,"1079,1082,1076,351,1043,1088,1073","1076,1079"
264,"1082,1083,1084",""
263,"1079,1082,1084,1086",""
265,"1083,1082,1084,1085","1083"
266,"1083,1084,1082,1085","1083,1084"
269,"1085,1084,1086",""
267,"1082,1084,1086,1083","1084"
270,"1086,1085,1087",""
268,"1084,1087,1085,1083,1086",""
273,"1088,1087,1089,1090",""
274,"1089,1088,1090,1087","1088,1089"
272,"1088,1089,1087,1086,1090",""
271,"1087,1086,1085,1089",""
278,"1090,1089,1088","1090,1088"
276,"1090,1089,1093","1090,1089"
281,"1093,1090",""
279,"1093,1090,1089",""
277,"1090,1089,1093","1090,1089"
520,"633,1079,99",""
283,"1093","1096,1093"
477,"400",""
285,"1089",""
287,"",""
292,"20",""
290,"8,357",""
288,"",""
298,"221",""
294,"769","1093"
309,"512,459,413,398,458","218"
303,"491",""
318,"13,677,831","909"
314,"446,471,940",""
324,"82,455,458,569",""
321,"601,782,499,430,226,704",""
327,"454,432,584,404,588,493",""
330,"380,493,1037,531,271,789,466",""
333,"668,453,545",""
336,"393,491",""
338,"575,1093,601,664",""
342,"553,654,446,480,858",""
340,"10,411,450,441,430",""
349,"684,540,658",""
347,"917,616",""
344,"643,1083",""
356,"647",""
353,"930,459",""
351,"261,489",""
354,"121,454",""
359,"620",""
357,"452",""
361,"411",""
363,"607",""
369,"459,450",""
364,"460,466,544",""
365,"",""
367,"",""
373,"163,717",""
371,"482,463,801",""
377,"529",""
375,"649,586",""
380,"330",""
384,"203",""
382,"639",""
385,"435,589",""
386,"278",""
389,"601,639",""
387,"1041",""
391,"68",""
397,"459,448,493,153,725",""
395,"504,527,526",""
393,"336,278",""
398,"480,456,883,491",""
400,"477,631,625",""
409,"1082,487,685,1083,115",""
407,"553,267",""
402,"460,459,556",""
404,"474,460,850,268,327",""
416,"18,178",""
413,"747,514,606",""
411,"361,586,340,533",""
414,"569",""
418,"683,826,658",""
421,"",""
423,"333",""
426,"356",""
428,"698",""
430,"270,340",""
432,"",""
435,"",""
438,"",""
441,"",""
445,"",""
443,"",""
447,"",""
446,"",""
451,"",""
448,"",""
450,"",""
449,"",""
452,"",""
453,"",""
454,"",""
455,"",""
456,"",""
459,"",""
458,"",""
457,"",""
463,"",""
461,"",""
460,"",""
466,"",""
474,"404",""
471,"",""
468,"",""
480,"",""
485,"",""
482,"806,357,662",""
489,"351,639",""
487,"668,607,414,404",""
493,"359,647,397",""
491,"773,336,303",""
496,"68,565,656,278",""
501,"627,567,353,391,443",""
499,"645,359,349,556,647,763,428",""
506,"741,274,397,584,622",""
504,"395,609,946,649",""
510,"765,5,1039,244",""
508,"13,629,95",""
512,"309,799,662,677,725",""
514,"811,680,413,599",""
516,"131,224,172,382,601",""
518,"761,3,1055",""
524,"216,577,662",""
522,"647,672,826,349,333",""
527,"194,681,591,395,451,471",""
526,"614",""
529,"377,5",""
535,"272,1086,891,622",""
531,"582",""
533,"174,586,616,411",""
537,"387",""
540,"662,606,599,591",""
538,"",""
542,"601,612",""
545,"647",""
544,"451",""
547,"627,637",""
549,"",""
553,"660",""
551,"",""
